id,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
32,Nute Gunray,191,90,none,mottled green,red,NA,male,Cato Neimoidia,Neimodian
33,Finis Valorum,170,100,blond,fair,blue,91BBY,male,Coruscant,Human
34,Jar Jar Binks,196,66,none,orange,orange,52BBY,male,Naboo,Gungan
35,Roos Tarpals,224,82,none,grey,orange,NA,male,Naboo,Gungan
36,Rugor Nass,206,140,none,green,orange,NA,male,Naboo,Gungan
37,Ric Olié,183,102,brown,fair,blue,NA,male,Naboo,NA
38,Watto,137,60,black,"blue, grey",yellow,NA,male,Toydaria,Toydarian
39,Sebulba,112,40,none,"grey, red",orange,NA,male,Malastare,Dug
40,Quarsh Panaka,183,88,black,dark,brown,62BBY,male,Naboo,NA
41,Shmi Skywalker,163,64,black,fair,brown,72BBY,female,Tatooine,Human
42,Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,Zabrak
43,Bib Fortuna,180,95,none,pale,pink,NA,male,Ryloth,Twi'lek
44,Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,Twi'lek
45,Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,Vulpter,Vulptereen
46,Gasgano,122,82,none,"white, blue",black,NA,male,Troiken,Xexto
47,Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,Tund,Toong
48,Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,Human
49,Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,Cerean
50,Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan
51,Eeth Koth,171,89,black,brown,brown,NA,male,Iridonia,Zabrak
52,Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian
53,Saesee Tiin,188,94,none,pale,orange,NA,male,Iktotch,Iktotchi
54,Yarael Poof,264,179,none,white,yellow,NA,male,Quermia,Quermian
55,Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,Kel Dor
56,Mas Amedda,196,103,none,blue,blue,NA,male,Champala,Chagrian
57,Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human
58,Cordé,157,60,brown,light,brown,NA,female,Naboo,Human
59,Cliegg Lars,183,77,brown,fair,blue,82BBY,male,Tatooine,Human
60,Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian
61,Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan
62,Barriss Offee,166,50,black,yellow,blue,40BBY,female,Mirial,Mirialan
63,Dormé,165,68,brown,light,brown,NA,female,Naboo,Human
64,Dooku,193,80,white,fair,brown,102BBY,male,Serenno,Human
65,Bail Prestor Organa,191,89,black,tan,brown,67BBY,male,Alderaan,Human
66,Jango Fett,183,79,black,tan,brown,66BBY,male,Concord Dawn,Human
67,Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,Zolan,Clawdite
68,Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk
69,Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan
70,Taun We,213,103,none,grey,black,NA,female,Kamino,Kaminoan
71,Jocasta Nu,167,68,white,fair,blue,NA,female,Coruscant,Human
72,Ratts Tyerell,79,15,none,"grey, blue",NA,NA,male,Aleen Minor,Aleena
73,R4-P17,96,63,none,"silver, red","red, blue",NA,female,NA,NA
74,Wat Tambor,193,48,none,"green, grey",NA,NA,male,Skako,Skakoan
75,San Hill,191,87,none,grey,gold,NA,male,Muunilinst,Muun
76,Shaak Ti,178,57,none,"red, blue, white",black,NA,female,Shili,Togruta
77,Grievous,216,159,none,"brown, white","green, yellow",NA,male,Kalee,Kaleesh
78,Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee
79,Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human
80,Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA
81,Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an
82,Finn,177,87,black,dark,dark,NA,male,NA,Human
83,Rey,168,77,brown,light,hazel,NA,female,NA,Human
84,Poe Dameron,175,81,brown,light,brown,NA,male,NA,Human
85,BB8,45,60,none,none,black,NA,none,NA,Droid
86,Captain Phasma,170,79,NA,NA,NA,NA,female,NA,NA
87,Padmé Amidala,165,45,brown,light,brown,46BBY,female,Naboo,Human
